"faobs_id","obs_type","reliability","total_quantity","total_est_yn","observers.x","species","admin_unit","sub_admin_unit","loc_accuracy","landform","air_temp","wind_speed","lat","lon","obs_notes","data_src_cd","version_name","date","day","month","year","total_est","site.id","survey.id","survey.conducted","dobs_cn","condition","repro_status","activity","quantity","gender","dobs_notes","age","srv_id","visit_id","project_nm","surv_type","protocol_nm","observers.y","gis_acres","amph_surv_yn","survey_notes","habitat_notes","data.type","individual.id","duration","time.to.detect","count","pass.id","survey.pass"
"3669","Visual","Fair",7,"N","C. BEAUSOLIEL","RACA","ORM00","ORM05","TR640",NA,NA,NA,42.6559702,-122.5480937,NA,"ORM00",NA,"5/8/1996",8,5,1996,0,14,1,1,"{459DF79C-8915-46FB-B033-FB5B79FFEBBA}","Live",NA,"Unknown",7,"Unknown",NA,"NR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PO",NA,NA,NA,1,1,"1_1"
"3669","Visual","Fair",7,"N","C. BEAUSOLIEL","RACA","ORM00","ORM05","TR640",NA,NA,NA,42.6559702,-122.5480937,NA,"ORM00",NA,"5/8/1996",8,5,1996,0,14,2,1,"{459DF79C-8915-46FB-B033-FB5B79FFEBBA}","Live",NA,"Unknown",7,"Unknown",NA,"NR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PO",NA,NA,NA,1,1,"2_1"
"3669","Visual","Fair",7,"N","C. BEAUSOLIEL","RACA","ORM00","ORM05","TR640",NA,NA,NA,42.6559702,-122.5480937,NA,"ORM00",NA,"5/8/1996",8,5,1996,0,14,3,1,"{459DF79C-8915-46FB-B033-FB5B79FFEBBA}","Live",NA,"Unknown",7,"Unknown",NA,"NR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PO",NA,NA,NA,1,1,"3_1"
"3669","Visual","Fair",7,"N","C. BEAUSOLIEL","RACA","ORM00","ORM05","TR640",NA,NA,NA,42.6559702,-122.5480937,NA,"ORM00",NA,"5/8/1996",8,5,1996,0,14,4,1,"{459DF79C-8915-46FB-B033-FB5B79FFEBBA}","Live",NA,"Unknown",7,"Unknown",NA,"NR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PO",NA,NA,NA,1,1,"4_1"
"3669","Visual","Fair",7,"N","C. BEAUSOLIEL","RACA","ORM00","ORM05","TR640",NA,NA,NA,42.6559702,-122.5480937,NA,"ORM00",NA,"5/8/1996",8,5,1996,0,14,5,1,"{459DF79C-8915-46FB-B033-FB5B79FFEBBA}","Live",NA,"Unknown",7,"Unknown",NA,"NR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PO",NA,NA,NA,1,1,"5_1"
"3669","Visual","Fair",7,"N","C. BEAUSOLIEL","RACA","ORM00","ORM05","TR640",NA,NA,NA,42.6559702,-122.5480937,NA,"ORM00",NA,"5/8/1996",8,5,1996,0,14,6,1,"{459DF79C-8915-46FB-B033-FB5B79FFEBBA}","Live",NA,"Unknown",7,"Unknown",NA,"NR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PO",NA,NA,NA,1,1,"6_1"
"3669","Visual","Fair",7,"N","C. BEAUSOLIEL","RACA","ORM00","ORM05","TR640",NA,NA,NA,42.6559702,-122.5480937,NA,"ORM00",NA,"5/8/1996",8,5,1996,0,14,7,1,"{459DF79C-8915-46FB-B033-FB5B79FFEBBA}","Live",NA,"Unknown",7,"Unknown",NA,"NR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PO",NA,NA,NA,1,1,"7_1"
"3662","Visual","Fair",1,"N","C. BEAUSOLIEL","RACA","ORM00","ORM05","TR640",NA,NA,NA,42.64154013,-122.8858754,NA,"ORM00",NA,"5/16/1996",16,5,1996,0,10,8,1,"{3142AB39-6805-4A9C-87A7-BAF1C96E3DDB}","Live",NA,"Unknown",1,"Female",NA,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PO",NA,NA,NA,1,1,"8_1"
"708","Visual","Good",0,"N","C. BEAUSOLIEL;M. MUCHOWSKI","RACA","ORM00","ORM05","TR40",NA,NA,NA,42.65776711,-122.5516069,NA,"ORM00",NA,"3/30/1994",30,3,1994,0,15,9,1,"{91A3D8B1-5C09-4525-97BB-8CB438B50C99}","Live",NA,"Unknown",1,"Female",NA,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PO",NA,NA,NA,1,1,"9_1"
"1155","Visual","Fair",1,"N","UNKNOWN","RACA","ORM00","ORM05","TR640",NA,NA,NA,42.5408483,-122.4304417,NA,"ORM00",NA,"8/17/1995",17,8,1995,0,3,10,1,"{BB8F9698-2B7E-4535-9545-C6B7C2F46A29}","Live",NA,"Unknown",1,"Male",NA,"adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PO",NA,NA,NA,1,1,"10_1"
"1337","Visual","Fair",7,"N","C. BEAUSOLIEL","RACA","ORM00","ORM05","TR40",NA,NA,NA,42.65446221,-122.5470676,NA,"ORM00",NA,"5/8/1996",8,5,1996,0,13,11,1,"{F5BE0BBE-E4F7-4578-9ED4-69C7FD738268}","Live",NA,"Unknown",7,"Unknown",NA,"NR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PO",NA,NA,NA,1,1,"11_1"
"1337","Visual","Fair",7,"N","C. BEAUSOLIEL","RACA","ORM00","ORM05","TR40",NA,NA,NA,42.65446221,-122.5470676,NA,"ORM00",NA,"5/8/1996",8,5,1996,0,13,12,1,"{F5BE0BBE-E4F7-4578-9ED4-69C7FD738268}","Live",NA,"Unknown",7,"Unknown",NA,"NR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PO",NA,NA,NA,1,1,"12_1"
"1337","Visual","Fair",7,"N","C. BEAUSOLIEL","RACA","ORM00","ORM05","TR40",NA,NA,NA,42.65446221,-122.5470676,NA,"ORM00",NA,"5/8/1996",8,5,1996,0,13,13,1,"{F5BE0BBE-E4F7-4578-9ED4-69C7FD738268}","Live",NA,"Unknown",7,"Unknown",NA,"NR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PO",NA,NA,NA,1,1,"13_1"
