"site.id","lat","lon","date","day","month","year","wetlandtype","airtemp","soiltemp","watertemp","relhumidity","elevation","weather","wind","time","survey.id","pass.id","survey.pass","data.type","survey.conducted","individual.id","time.to.detect","species","age","count"
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"AMOP","adult",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"AMOP","egg mass",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"AMOP","juvenile",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"AMOP","larva",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"AMAC","adult",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"AMAC","egg mass",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"AMAC","juvenile",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"AMAC","larva",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"AMTA","adult",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"AMTA","egg mass",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"AMTA","juvenile",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"AMTA","larva",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"ANAM","adult",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"ANAM","egg mass",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"ANAM","juvenile",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"ANAM","larva",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DAEN","adult",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DAEN","egg mass",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DAEN","juvenile",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DAEN","larva",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"ANWO","adult",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"ANWO","egg mass",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"ANWO","juvenile",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"ANWO","larva",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DFUS","adult",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DFUS","egg mass",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DFUS","juvenile",1
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DFUS","larva",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DIMI","adult",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DIMI","egg mass",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DIMI","juvenile",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DIMI","larva",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DMAR","adult",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DMAR","egg mass",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DMAR","juvenile",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DMAR","larva",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DMON","adult",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DMON","egg mass",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DMON","juvenile",1
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DMON","larva",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DOCO","adult",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DOCO","egg mass",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DOCO","juvenile",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DOCO","larva",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DQUA","adult",1
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DQUA","egg mass",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DQUA","juvenile",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DQUA","larva",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DSAN","adult",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DSAN","egg mass",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DSAN","juvenile",1
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DSAN","larva",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DESM","adult",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DESM","egg mass",0
"bb8",35.6055555555556,-83.1280555555556,"9/18/1999",18,9,1999,"seep",18,13,13,58,3080,1,NA,70,1,1,"1_1","DND",1,NA,NA,"DESM","juvenile",0
